2015-12-31 15:51:40.580 [error] <0.91.0> gen_server maxwell_protocol_channel_sup terminated with reason: no such process or port in call to gen_server:call(ranch_sup, {start_child,{{ranch_listener_sup,command_channel},{ranch_listener_sup,start_link,[command_channel,...]},...}}, infinity) in gen_server:call/3 line 190
2015-12-31 15:51:40.581 [error] <0.91.0> CRASH REPORT Process maxwell_protocol_channel_sup with 0 neighbours exited with reason: no such process or port in call to gen_server:call(ranch_sup, {start_child,{{ranch_listener_sup,command_channel},{ranch_listener_sup,start_link,[command_channel,...]},...}}, infinity) in gen_server:call/3 line 190 in gen_server:terminate/6 line 746
2015-12-31 16:32:02.580 [error] <0.97.0> Supervisor maxwell_protocol_channel_sup had child maxwell_protocol_channel_pools started with maxwell_protocol_channel_pools:start_link() at undefined exit with reason {'EXIT',{undef,[{maxwell_protocol_channel_pools,start_link,[],[]},{supervisor,do_start_child,2,[{file,"supervisor.erl"},{line,314}]},{supervisor,start_children,3,[{file,"supervisor.erl"},{line,297}]},{supervisor,init_children,2,[{file,"supervisor.erl"},{line,263}]},{gen_server,init_it,6,[{file,"gen_server.erl"},{line,306}]},{proc_lib,init_p_do_apply,3,[{file,"proc_lib.erl"},{line,239}]}]}} in context start_error
2015-12-31 16:32:02.581 [error] <0.59.0> CRASH REPORT Process <0.59.0> with 0 neighbours exited with reason: {{shutdown,{failed_to_start_child,maxwell_protocol_channel_pools,{'EXIT',{undef,[{maxwell_protocol_channel_pools,start_link,[],[]},{supervisor,do_start_child,2,[{file,"supervisor.erl"},{line,314}]},{supervisor,start_children,3,[{file,"supervisor.erl"},{line,297}]},{supervisor,init_children,2,[{file,"supervisor.erl"},{line,263}]},{gen_server,init_it,6,[{file,"gen_server.erl"},{line,306}]},{proc_lib,init_p_do_apply,3,[{file,"proc_lib.erl"},{line,239}]}]}}}},{maxwell_protocol_channel_app,start,...}} in application_master:init/4 line 133
2015-12-31 16:38:24.033 [error] <0.202.0> CRASH REPORT Process <0.202.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.033 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.202.0> exit with reason: undef

2015-12-31 16:38:24.060 [error] <0.204.0> CRASH REPORT Process <0.204.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.060 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.204.0> exit with reason: undef

2015-12-31 16:38:24.083 [error] <0.206.0> CRASH REPORT Process <0.206.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.084 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.206.0> exit with reason: undef

2015-12-31 16:38:24.108 [error] <0.208.0> CRASH REPORT Process <0.208.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.108 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.208.0> exit with reason: undef

2015-12-31 16:38:24.134 [error] <0.210.0> CRASH REPORT Process <0.210.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.135 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.210.0> exit with reason: undef

2015-12-31 16:38:24.162 [error] <0.212.0> CRASH REPORT Process <0.212.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.162 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.212.0> exit with reason: undef

2015-12-31 16:38:24.186 [error] <0.214.0> CRASH REPORT Process <0.214.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.186 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.214.0> exit with reason: undef

2015-12-31 16:38:24.211 [error] <0.216.0> CRASH REPORT Process <0.216.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.211 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.216.0> exit with reason: undef

2015-12-31 16:38:24.236 [error] <0.218.0> CRASH REPORT Process <0.218.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.237 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.218.0> exit with reason: undef

2015-12-31 16:38:24.263 [error] <0.220.0> CRASH REPORT Process <0.220.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.263 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.220.0> exit with reason: undef

2015-12-31 16:38:24.297 [error] <0.222.0> CRASH REPORT Process <0.222.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.297 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.222.0> exit with reason: undef

2015-12-31 16:38:24.323 [error] <0.224.0> CRASH REPORT Process <0.224.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.323 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.224.0> exit with reason: undef

2015-12-31 16:38:24.348 [error] <0.226.0> CRASH REPORT Process <0.226.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.348 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.226.0> exit with reason: undef

2015-12-31 16:38:24.374 [error] <0.228.0> CRASH REPORT Process <0.228.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.374 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.228.0> exit with reason: undef

2015-12-31 16:38:24.400 [error] <0.230.0> CRASH REPORT Process <0.230.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.400 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.230.0> exit with reason: undef

2015-12-31 16:38:24.427 [error] <0.232.0> CRASH REPORT Process <0.232.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.427 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.232.0> exit with reason: undef

2015-12-31 16:38:24.451 [error] <0.234.0> CRASH REPORT Process <0.234.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.451 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.234.0> exit with reason: undef

2015-12-31 16:38:24.486 [error] <0.236.0> CRASH REPORT Process <0.236.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.486 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.236.0> exit with reason: undef

2015-12-31 16:38:24.513 [error] <0.238.0> CRASH REPORT Process <0.238.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.513 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.238.0> exit with reason: undef

2015-12-31 16:38:24.539 [error] <0.240.0> CRASH REPORT Process <0.240.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.539 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.240.0> exit with reason: undef

2015-12-31 16:38:24.564 [error] <0.242.0> CRASH REPORT Process <0.242.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.564 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.242.0> exit with reason: undef

2015-12-31 16:38:24.590 [error] <0.244.0> CRASH REPORT Process <0.244.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.590 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.244.0> exit with reason: undef

2015-12-31 16:38:24.614 [error] <0.246.0> CRASH REPORT Process <0.246.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.614 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.246.0> exit with reason: undef

2015-12-31 16:38:24.641 [error] <0.248.0> CRASH REPORT Process <0.248.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.642 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.248.0> exit with reason: undef

2015-12-31 16:38:25.008 [error] <0.276.0> CRASH REPORT Process <0.276.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.008 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.276.0> exit with reason: undef

2015-12-31 16:38:25.035 [error] <0.278.0> CRASH REPORT Process <0.278.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.036 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.278.0> exit with reason: undef

2015-12-31 16:38:25.063 [error] <0.280.0> CRASH REPORT Process <0.280.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.063 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.280.0> exit with reason: undef

2015-12-31 16:38:25.091 [error] <0.282.0> CRASH REPORT Process <0.282.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.091 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.282.0> exit with reason: undef

2015-12-31 16:38:25.114 [error] <0.284.0> CRASH REPORT Process <0.284.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.115 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.284.0> exit with reason: undef

2015-12-31 16:38:25.143 [error] <0.286.0> CRASH REPORT Process <0.286.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.143 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.286.0> exit with reason: undef

2015-12-31 16:38:25.168 [error] <0.288.0> CRASH REPORT Process <0.288.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.168 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.288.0> exit with reason: undef

2015-12-31 16:38:25.194 [error] <0.290.0> CRASH REPORT Process <0.290.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.194 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.290.0> exit with reason: undef

2015-12-31 16:38:25.216 [error] <0.292.0> CRASH REPORT Process <0.292.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.217 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.292.0> exit with reason: undef

2015-12-31 16:38:25.241 [error] <0.294.0> CRASH REPORT Process <0.294.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.241 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.294.0> exit with reason: undef

2015-12-31 16:38:25.265 [error] <0.296.0> CRASH REPORT Process <0.296.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.265 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.296.0> exit with reason: undef

2015-12-31 16:38:25.291 [error] <0.298.0> CRASH REPORT Process <0.298.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.291 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.298.0> exit with reason: undef

2015-12-31 16:38:25.314 [error] <0.300.0> CRASH REPORT Process <0.300.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.314 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.300.0> exit with reason: undef

2015-12-31 16:38:25.338 [error] <0.302.0> CRASH REPORT Process <0.302.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.338 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.302.0> exit with reason: undef

2015-12-31 16:38:25.362 [error] <0.304.0> CRASH REPORT Process <0.304.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:25.362 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.304.0> exit with reason: undef

